date,prefecture_code,gender,elderly,status,count
2021-04-14,42,F,1,1,50
2021-04-14,42,M,0,1,1
2021-04-14,42,M,1,1,7
2021-04-14,42,U,NA,1,9
2021-04-14,43,F,0,1,1
2021-04-14,43,F,1,1,23
2021-04-14,43,M,0,1,2
2021-04-14,43,M,1,1,6
2021-04-14,43,U,NA,1,4
2021-04-14,44,F,0,1,3
2021-04-14,44,F,1,1,5
2021-04-14,44,M,0,1,2
2021-04-14,45,F,0,1,4
2021-04-14,45,F,1,1,11
2021-04-14,45,M,0,1,7
2021-04-14,45,M,1,1,6
2021-04-14,45,U,NA,1,2
2021-04-14,46,F,0,1,7
2021-04-14,46,F,1,1,18
2021-04-14,46,M,0,1,1
2021-04-14,46,M,1,1,11
2021-04-14,46,U,NA,1,1
2021-04-14,47,F,0,1,1
2021-04-14,47,F,1,1,42
2021-04-14,47,M,0,1,2
2021-04-14,47,M,1,1,17
2021-04-14,47,U,NA,1,5
2021-04-15,01,F,0,1,10
2021-04-15,01,F,1,1,67
2021-04-15,01,M,1,1,4
2021-04-15,01,U,NA,1,5
2021-04-15,02,F,0,1,26
2021-04-15,02,F,1,1,182
2021-04-15,02,M,0,1,9
2021-04-15,02,M,1,1,50
2021-04-15,02,U,NA,1,52
2021-04-15,03,F,0,1,4
2021-04-15,03,F,1,1,36
2021-04-15,03,M,0,1,3
2021-04-15,03,M,1,1,25
2021-04-15,03,U,NA,1,13
2021-04-15,04,F,0,1,67
2021-04-15,04,F,1,1,44
2021-04-15,04,M,0,1,32
2021-04-15,04,M,1,1,9
2021-04-15,04,U,NA,1,10
2021-04-15,05,F,0,1,36
2021-04-15,05,F,1,1,144
2021-04-15,05,M,0,1,18
2021-04-15,05,M,1,1,36
2021-04-15,05,U,NA,1,39
2021-04-15,06,F,0,1,13
2021-04-15,06,F,1,1,48
2021-04-15,06,M,0,1,8
2021-04-15,06,M,1,1,20
2021-04-15,06,U,NA,1,21
2021-04-15,07,F,0,1,2
2021-04-15,07,F,1,1,108
2021-04-15,07,M,0,1,2
2021-04-15,07,M,1,1,89
2021-04-15,07,U,NA,1,3
2021-04-15,08,F,0,1,105
2021-04-15,08,F,1,1,13
2021-04-15,08,M,0,1,60
2021-04-15,08,M,1,1,5
2021-04-15,08,U,NA,1,8
2021-04-15,09,F,0,1,12
2021-04-15,09,F,1,1,15
2021-04-15,09,M,0,1,2
2021-04-15,09,M,1,1,3
2021-04-15,09,U,NA,1,3
2021-04-15,10,F,0,1,6
2021-04-15,10,F,1,1,56
2021-04-15,10,M,0,1,6
2021-04-15,10,M,1,1,23
2021-04-15,10,U,NA,1,15
2021-04-15,11,F,0,1,211
2021-04-15,11,F,1,1,125
2021-04-15,11,M,0,1,95
2021-04-15,11,M,1,1,36
2021-04-15,11,U,NA,1,47
2021-04-15,12,F,0,1,40
2021-04-15,12,F,1,1,8
2021-04-15,12,M,0,1,22
2021-04-15,12,M,1,1,3
2021-04-15,12,U,NA,1,8
2021-04-15,13,F,0,1,497
2021-04-15,13,F,1,1,49
2021-04-15,13,M,0,1,193
2021-04-15,13,M,1,1,38
2021-04-15,13,U,NA,1,28
2021-04-15,14,F,0,1,171
2021-04-15,14,F,1,1,96
2021-04-15,14,M,0,1,78
2021-04-15,14,M,1,1,60
2021-04-15,14,U,NA,1,33
2021-04-15,15,F,0,1,8
2021-04-15,15,F,1,1,98
2021-04-15,15,M,0,1,14
2021-04-15,15,M,1,1,39
2021-04-15,15,U,NA,1,24
2021-04-15,16,F,0,1,31
2021-04-15,16,F,1,1,8
2021-04-15,16,M,0,1,10
2021-04-15,16,M,1,1,5
2021-04-15,17,F,0,1,37
2021-04-15,17,F,1,1,54
2021-04-15,17,M,0,1,14
2021-04-15,17,M,1,1,44
2021-04-15,17,U,NA,1,8
2021-04-15,18,F,0,1,14
2021-04-15,18,F,1,1,111
2021-04-15,18,M,0,1,4
2021-04-15,18,M,1,1,42
2021-04-15,18,U,NA,1,69
2021-04-15,19,F,0,1,9
2021-04-15,19,F,1,1,53
2021-04-15,19,M,0,1,3
2021-04-15,19,M,1,1,57
2021-04-15,20,F,0,1,8
2021-04-15,20,F,1,1,40
2021-04-15,20,M,0,1,2
2021-04-15,20,M,1,1,17
2021-04-15,20,U,NA,1,18
2021-04-15,21,F,0,1,3
2021-04-15,21,F,1,1,44
2021-04-15,21,M,0,1,3
2021-04-15,21,M,1,1,9
2021-04-15,21,U,NA,1,16
2021-04-15,22,F,0,1,464
2021-04-15,22,F,1,1,22
2021-04-15,22,M,0,1,172
2021-04-15,22,M,1,1,18
2021-04-15,22,U,NA,1,9
2021-04-15,23,F,0,1,14
2021-04-15,23,F,1,1,2
2021-04-15,23,M,0,1,7
2021-04-15,23,M,1,1,1
2021-04-15,23,U,NA,1,20
2021-04-15,24,F,0,1,14
2021-04-15,24,F,1,1,20
2021-04-15,24,M,0,1,4
2021-04-15,24,M,1,1,6
2021-04-15,24,U,NA,1,7
2021-04-15,25,F,0,1,16
2021-04-15,25,F,1,1,22
2021-04-15,25,M,0,1,8
2021-04-15,25,M,1,1,7
2021-04-15,25,U,NA,1,1
2021-04-15,26,F,0,1,45
2021-04-15,26,F,1,1,68
2021-04-15,26,M,0,1,50
2021-04-15,26,M,1,1,9
2021-04-15,26,U,NA,1,25
2021-04-15,27,F,0,1,111
2021-04-15,27,F,1,1,162
2021-04-15,27,M,0,1,58
2021-04-15,27,M,1,1,65
2021-04-15,27,U,NA,1,52
2021-04-15,28,F,0,1,242
2021-04-15,28,F,1,1,37
2021-04-15,28,M,0,1,204
2021-04-15,28,M,1,1,31
2021-04-15,28,U,NA,1,10
2021-04-15,29,F,0,1,20
2021-04-15,29,F,1,1,88
2021-04-15,29,M,0,1,9
2021-04-15,29,M,1,1,16
2021-04-15,29,U,NA,1,13
2021-04-15,30,F,1,1,125
2021-04-15,30,M,1,1,122
2021-04-15,30,U,NA,1,6
2021-04-15,31,F,0,1,5
2021-04-15,31,F,1,1,34
2021-04-15,31,M,0,1,6
2021-04-15,31,M,1,1,16
2021-04-15,31,U,NA,1,7
2021-04-15,32,F,0,1,8
